,smiley face,neutral,sad face
Attentive,3,3,1
Active,5,3,1
Alert,4,2,1
Excited,3,2,2
Enthusiastic,5,4,1
Determined,3,4,3
Inspired,3,4,1
Proud,3,2,2
Interested,3,3,1
Strong,5,3,1
Hostile,3,4,5
Irritable,1,2,3
Ashamed,2,4,4
Guilty,1,3,4
Distressed,1,4,4
Upset,1,2,4
Scared,3,4,3
Afraid,1,3,3
Jittery,2,3,3
Nervous,1,4,5
