,smiley face,neutral,sad face
Attentive,3,4,1
Active,5,2,2
Alert,3,2,3
Excited,4,3,2
Enthusiastic,5,2,2
Determined,3,3,3
Inspired,3,4,3
Proud,4,2,2
Interested,5,4,2
Strong,4,2,3
Hostile,1,3,3
Irritable,3,2,5
Ashamed,3,2,4
Guilty,1,4,4
Distressed,2,3,3
Upset,1,2,4
Scared,2,4,5
Afraid,1,2,4
Jittery,1,2,3
Nervous,1,3,4
