,smiley face,neutral,sad face
Attentive,4,2,3
Active,4,2,1
Alert,5,3,1
Excited,5,3,1
Enthusiastic,3,4,3
Determined,3,3,1
Inspired,3,3,3
Proud,3,4,2
Interested,4,2,3
Strong,3,3,1
Hostile,1,4,3
Irritable,1,4,4
Ashamed,1,3,4
Guilty,2,4,4
Distressed,2,2,5
Upset,1,4,4
Scared,2,4,3
Afraid,2,2,5
Jittery,2,3,4
Nervous,3,3,3
