,smiley face,neutral,sad face
Attentive,5,4,2
Active,4,4,1
Alert,3,4,2
Excited,5,2,1
Enthusiastic,4,2,3
Determined,3,2,3
Inspired,4,2,1
Proud,5,4,1
Interested,3,3,1
Strong,4,3,2
Hostile,3,4,3
Irritable,2,2,4
Ashamed,1,4,4
Guilty,3,3,3
Distressed,1,3,5
Upset,3,3,3
Scared,2,3,4
Afraid,2,3,5
Jittery,2,4,3
Nervous,1,4,5
