,smiley face,neutral,sad face
Attentive,5,4,2
Active,3,3,1
Alert,4,2,2
Excited,3,3,1
Enthusiastic,3,4,1
Determined,4,2,2
Inspired,3,2,3
Proud,4,3,1
Interested,5,4,2
Strong,5,2,1
Hostile,2,3,3
Irritable,3,3,5
Ashamed,2,2,3
Guilty,3,2,5
Distressed,2,4,4
Upset,2,4,4
Scared,3,3,3
Afraid,2,4,3
Jittery,3,3,5
Nervous,1,4,5
