,smiley face,neutral,sad face
Attentive,3,2,3
Active,4,2,3
Alert,4,3,2
Excited,5,3,3
Enthusiastic,3,4,3
Determined,5,3,1
Inspired,3,4,2
Proud,3,4,3
Interested,3,3,3
Strong,3,3,2
Hostile,1,3,5
Irritable,3,2,4
Ashamed,2,2,3
Guilty,1,2,5
Distressed,2,2,5
Upset,2,2,3
Scared,2,3,5
Afraid,2,2,4
Jittery,2,4,5
Nervous,3,2,4
