,smiley face,neutral,sad face
Attentive,5,2,2
Active,4,3,3
Alert,4,4,3
Excited,5,4,2
Enthusiastic,5,2,1
Determined,5,2,2
Inspired,5,3,2
Proud,5,2,1
Interested,4,4,1
Strong,4,3,1
Hostile,1,2,4
Irritable,1,3,3
Ashamed,2,2,5
Guilty,3,3,5
Distressed,3,2,5
Upset,3,4,4
Scared,3,4,3
Afraid,2,4,5
Jittery,2,2,5
Nervous,3,2,4
