,smiley face,neutral,sad face
Attentive,3,4,2
Active,3,4,1
Alert,3,4,1
Excited,4,2,1
Enthusiastic,4,4,2
Determined,3,4,3
Inspired,4,4,1
Proud,5,3,2
Interested,4,4,2
Strong,3,4,2
Hostile,3,3,4
Irritable,3,4,3
Ashamed,2,4,3
Guilty,1,4,3
Distressed,2,3,5
Upset,2,2,3
Scared,3,2,5
Afraid,1,4,3
Jittery,2,2,3
Nervous,1,3,3
