,smiley face,neutral,sad face
Attentive,5,4,2
Active,3,3,3
Alert,4,3,2
Excited,3,4,3
Enthusiastic,4,3,3
Determined,5,3,3
Inspired,4,3,1
Proud,3,2,3
Interested,3,4,1
Strong,4,4,2
Hostile,2,4,4
Irritable,2,4,4
Ashamed,2,4,5
Guilty,1,4,4
Distressed,2,2,4
Upset,3,4,3
Scared,3,4,3
Afraid,3,4,3
Jittery,1,4,4
Nervous,2,2,5
