,smiley face,neutral,sad face
Attentive,5,2,3
Active,3,3,3
Alert,4,4,2
Excited,5,3,2
Enthusiastic,5,4,3
Determined,3,2,1
Inspired,4,2,2
Proud,5,2,3
Interested,5,2,2
Strong,3,2,3
Hostile,3,2,5
Irritable,2,3,5
Ashamed,2,2,5
Guilty,1,4,5
Distressed,1,3,5
Upset,2,2,3
Scared,3,4,3
Afraid,3,4,3
Jittery,1,3,3
Nervous,1,2,3
