,smiley face,neutral,sad face
Attentive,5,3,3
Active,3,2,1
Alert,4,3,1
Excited,3,2,1
Enthusiastic,3,2,2
Determined,4,4,2
Inspired,3,2,1
Proud,3,4,3
Interested,3,3,3
Strong,5,2,2
Hostile,3,2,5
Irritable,1,4,4
Ashamed,3,4,5
Guilty,3,2,3
Distressed,1,3,3
Upset,3,3,4
Scared,3,3,3
Afraid,2,4,3
Jittery,1,3,4
Nervous,1,3,4
