,smiley face,neutral,sad face
Attentive,4,2,1
Active,5,3,3
Alert,4,4,3
Excited,4,3,2
Enthusiastic,3,3,1
Determined,5,3,2
Inspired,5,2,3
Proud,3,3,1
Interested,4,4,1
Strong,5,3,2
Hostile,1,3,4
Irritable,3,3,4
Ashamed,1,3,3
Guilty,3,4,3
Distressed,1,3,3
Upset,3,3,4
Scared,2,4,4
Afraid,3,3,5
Jittery,2,4,4
Nervous,3,3,3
