,smiley face,neutral,sad face
Attentive,5,2,3
Active,3,3,3
Alert,4,2,3
Excited,3,3,2
Enthusiastic,3,3,2
Determined,5,2,2
Inspired,3,3,3
Proud,5,2,3
Interested,5,2,2
Strong,3,4,3
Hostile,3,2,3
Irritable,3,2,4
Ashamed,2,2,3
Guilty,2,4,5
Distressed,2,3,4
Upset,3,3,5
Scared,3,2,4
Afraid,3,2,5
Jittery,3,2,4
Nervous,1,2,5
