,smiley face,neutral,sad face
Attentive,4,4,3
Active,5,3,1
Alert,3,2,1
Excited,4,4,1
Enthusiastic,4,3,2
Determined,4,4,1
Inspired,4,4,2
Proud,3,2,2
Interested,4,3,2
Strong,3,4,1
Hostile,3,3,3
Irritable,1,3,5
Ashamed,3,3,5
Guilty,1,4,5
Distressed,1,2,3
Upset,2,3,4
Scared,3,3,5
Afraid,1,3,3
Jittery,3,3,4
Nervous,2,4,5
