,smiley face,neutral,sad face
Attentive,4,4,1
Active,5,4,3
Alert,3,4,3
Excited,4,2,2
Enthusiastic,3,4,2
Determined,3,3,1
Inspired,5,3,1
Proud,4,3,1
Interested,4,4,1
Strong,4,4,1
Hostile,1,2,3
Irritable,2,3,4
Ashamed,1,3,5
Guilty,3,3,3
Distressed,1,3,4
Upset,2,4,3
Scared,2,3,5
Afraid,3,2,4
Jittery,2,2,3
Nervous,1,3,5
