,smiley face,neutral,sad face
Attentive,3,2,2
Active,3,2,3
Alert,3,3,3
Excited,4,4,3
Enthusiastic,4,2,3
Determined,5,4,1
Inspired,3,4,2
Proud,4,2,3
Interested,3,4,1
Strong,4,4,3
Hostile,2,2,4
Irritable,3,2,4
Ashamed,1,2,5
Guilty,1,3,4
Distressed,3,2,3
Upset,2,4,5
Scared,3,4,4
Afraid,1,2,3
Jittery,2,3,3
Nervous,2,2,4
