,smiley face,neutral,sad face
Attentive,3,3,2
Active,4,3,2
Alert,4,2,2
Excited,5,2,2
Enthusiastic,3,3,2
Determined,3,4,3
Inspired,4,2,1
Proud,5,3,2
Interested,5,2,3
Strong,3,4,3
Hostile,2,2,4
Irritable,3,4,3
Ashamed,3,3,4
Guilty,2,4,4
Distressed,3,3,3
Upset,1,4,4
Scared,3,2,5
Afraid,1,4,3
Jittery,3,3,4
Nervous,1,3,5
