,smiley face,neutral,sad face
Attentive,5,2,2
Active,3,3,3
Alert,3,3,1
Excited,3,2,1
Enthusiastic,3,3,3
Determined,5,3,1
Inspired,3,3,1
Proud,4,4,2
Interested,5,4,3
Strong,5,3,3
Hostile,3,2,3
Irritable,1,4,5
Ashamed,3,4,4
Guilty,1,4,3
Distressed,3,4,4
Upset,2,4,5
Scared,2,3,4
Afraid,2,4,3
Jittery,3,2,5
Nervous,2,3,5
