,smiley face,neutral,sad face
Attentive,3,4,2
Active,3,4,1
Alert,3,3,1
Excited,3,2,2
Enthusiastic,3,4,3
Determined,4,4,3
Inspired,4,2,1
Proud,4,4,1
Interested,5,2,1
Strong,4,3,2
Hostile,1,3,3
Irritable,1,3,5
Ashamed,1,4,5
Guilty,1,3,5
Distressed,3,3,5
Upset,2,2,5
Scared,2,4,4
Afraid,2,4,5
Jittery,3,3,3
Nervous,3,4,3
