,smiley face,neutral,sad face
Attentive,5,4,2
Active,5,2,1
Alert,4,4,3
Excited,4,2,1
Enthusiastic,4,3,1
Determined,5,3,3
Inspired,5,2,2
Proud,5,3,2
Interested,3,4,1
Strong,5,3,2
Hostile,2,4,4
Irritable,1,3,3
Ashamed,1,2,3
Guilty,1,2,4
Distressed,1,2,4
Upset,2,4,5
Scared,2,4,4
Afraid,2,2,4
Jittery,1,4,5
Nervous,1,3,4
