,smiley face,neutral,sad face
Attentive,5,4,1
Active,3,4,1
Alert,5,2,2
Excited,5,3,3
Enthusiastic,3,4,1
Determined,3,2,1
Inspired,4,2,1
Proud,5,3,3
Interested,4,4,2
Strong,3,4,2
Hostile,3,2,3
Irritable,1,2,4
Ashamed,1,2,4
Guilty,1,3,4
Distressed,3,3,5
Upset,3,4,3
Scared,2,3,4
Afraid,2,3,4
Jittery,3,2,5
Nervous,3,2,4
