,smiley face,neutral,sad face
Attentive,5,4,1
Active,3,4,2
Alert,5,2,3
Excited,3,2,2
Enthusiastic,5,3,1
Determined,5,2,1
Inspired,3,2,2
Proud,4,2,2
Interested,4,2,3
Strong,4,2,1
Hostile,2,3,3
Irritable,1,4,3
Ashamed,3,3,5
Guilty,1,2,5
Distressed,3,3,3
Upset,3,3,5
Scared,2,2,4
Afraid,1,4,3
Jittery,3,4,5
Nervous,3,3,5
