,smiley face,neutral,sad face
Attentive,5,2,1
Active,5,2,1
Alert,3,4,3
Excited,4,2,2
Enthusiastic,4,4,1
Determined,3,4,1
Inspired,4,4,2
Proud,3,2,2
Interested,3,2,3
Strong,3,3,3
Hostile,3,4,3
Irritable,1,4,5
Ashamed,1,2,3
Guilty,3,3,3
Distressed,3,3,3
Upset,1,4,3
Scared,2,2,5
Afraid,1,2,3
Jittery,1,4,5
Nervous,2,2,3
