,smiley face,neutral,sad face
Attentive,4,2,1
Active,3,3,1
Alert,5,2,2
Excited,4,4,3
Enthusiastic,3,2,3
Determined,4,3,1
Inspired,4,3,3
Proud,4,2,1
Interested,4,4,2
Strong,5,3,2
Hostile,2,2,4
Irritable,1,4,3
Ashamed,2,3,3
Guilty,1,4,4
Distressed,3,4,5
Upset,2,4,3
Scared,2,2,4
Afraid,3,2,5
Jittery,3,4,4
Nervous,1,4,4
