,smiley face,neutral,sad face
Attentive,5,2,2
Active,5,2,1
Alert,4,4,1
Excited,5,3,1
Enthusiastic,5,2,2
Determined,3,2,1
Inspired,4,3,3
Proud,4,4,2
Interested,4,2,1
Strong,5,2,2
Hostile,3,3,5
Irritable,2,3,3
Ashamed,3,2,3
Guilty,2,4,4
Distressed,3,4,4
Upset,3,4,4
Scared,3,2,3
Afraid,1,4,4
Jittery,3,3,5
Nervous,3,2,5
