,smiley face,neutral,sad face
Attentive,4,4,1
Active,4,4,3
Alert,4,3,3
Excited,5,4,3
Enthusiastic,3,2,1
Determined,5,2,1
Inspired,5,3,3
Proud,4,4,2
Interested,4,3,2
Strong,4,2,2
Hostile,3,4,4
Irritable,2,2,5
Ashamed,1,2,4
Guilty,3,4,4
Distressed,2,3,5
Upset,3,2,3
Scared,3,2,5
Afraid,2,4,4
Jittery,1,3,5
Nervous,3,4,4
