,smiley face,neutral,sad face
Attentive,3,2,1
Active,5,3,2
Alert,3,2,2
Excited,4,3,3
Enthusiastic,4,4,2
Determined,5,4,1
Inspired,3,4,1
Proud,5,2,1
Interested,5,4,1
Strong,4,2,3
Hostile,2,2,5
Irritable,2,4,3
Ashamed,1,4,5
Guilty,3,4,4
Distressed,1,4,4
Upset,3,4,5
Scared,3,4,3
Afraid,2,3,5
Jittery,1,4,4
Nervous,2,3,3
